INSEE_COM,NOM,POP,Population_3_20,C20_FAM,C20_FAMMONO,QL3_20,QLFMONO,RDISP_MED,tx_BAC,tx_O,tx_Chom,FDep,APL
78615,Thiverval-Grignon,1198,386.353949837709,258.30791125515,13.0141757748189,1.40695845650893,0.258887984241796,29460,0.671579618992411,0.039977931714631,0.050836624912402,1.89011067181354,1.766
78616,Thoiry,1428,357,415,100,1.09066843473823,1.23818299934224,29150,0.654786150712831,0.087962962962963,0.055859802847755,1.20344277517442,2.285
78618,Tilly,509,119,160,5,1.01995712168054,0.160576857727197,27500,0.596774193548387,0.104651162790698,0.064814814814815,0.391055265951316,1.949
78620,Toussus-le-Noble,1164,384,330,40,1.43923257367518,0.622843569366097,36010,0.777628032345013,0.038251366120219,0.050761421319797,3.27026307558561,3.623
78621,Trappes,33419,9748.24946332015,8399.65669253656,2028.67502661784,1.27258242120915,1.24103457290441,17960,0.418074987376558,0.169268545181261,0.118185309343066,-3.255410593209,3.931
78623,Le Tremblay-sur-Mauldre,956,287.695191996181,251.586667379664,35.2594563472274,1.31288730015141,0.720146613729779,29710,0.653746778088607,0.048401157838843,0.055368001582488,1.6755343760274,2.597
78624,Triel-sur-Seine,12360,3076.95703668615,3450.47858696605,472.317066937688,1.08606469739782,0.70337549807749,28660,0.644640816421658,0.063014805079258,0.071559064776716,1.07641103810819,3.082
78638,Vaux-sur-Seine,5020,1164.46846635748,1414.09636619386,205.354586037529,1.01199123466465,0.746205306718229,28210,0.579835666458437,0.077542228718682,0.080499526129133,0.408500382467425,1.954
78640,Vélizy-Villacoublay,22836,4689.22775037804,5963.0956526105,893.821037201993,0.895847379687488,0.770214569804674,28070,0.654010883637711,0.05571232096506,0.056346886604342,1.37463815558184,1.508
78642,Verneuil-sur-Seine,15959,4040.6604301534,4403.84723395422,813.654353889156,1.10458569751591,0.949381229511969,27670,0.633155775039727,0.060445105580363,0.078451479882278,0.802267540263806,1.835
78643,Vernouillet,10266,2724.16817318104,2800.22240318757,326.959555949489,1.15767162961506,0.59997677942705,28650,0.581716797481441,0.086318237373883,0.096103152764795,0.123923715439788,2.281
78644,La Verrière,6222,1752,1465,350,1.22844815021625,1.22761829798266,19070,0.445885286783042,0.121748178980229,0.114213197969543,-2.43416111073547,3.487
78646,Versailles,83583,19799.7420980472,21431.0522077454,3007.91999344204,1.0334615279326,0.721200002552813,32780,0.792284106503774,0.031027915456828,0.060454704015513,2.83186344420211,2.554
78647,Vert,851,176.933205429311,251.006100691482,20.5020734985979,0.90705270138098,0.419707222124404,29510,0.508157551750255,0.06718465379827,0.068245200656366,0.540238668335527,2.794
78650,Le Vésinet,15619,3619.79787750988,4354.43216175757,577.160756298198,1.01107607020487,0.681080111165884,41900,0.84976261418183,0.01878458000043,0.053772959955725,4.52656089244268,2.565
